username, userid, transaction_date, transaction_amount
julia,1234, 31/10/2019,10000
john,2134, 3/12/2019,12321
robin,2135, 2/02/2019,23411
julia,1234, 31/10/2019,10000
john,2134, 3/12/2019,12321
robin,2135, 2/02/2019,23411
julia,1234, 31/10/2019,10000
john,2134, 3/12/2019,12321
robin,2135, 2/02/2019,23411
julia,1234, 31/10/2019,10000
john,2134, 3/12/2019,12321
robin,2135, 2/02/2019,23411
julia,1234, 31/10/2019,10000
john,2134, 3/12/2019,12321
robin,2135, 2/02/2019,23411
julia,1234, 31/10/2019,10000
john,2134, 3/12/2019,12321
robin,2135, 2/02/2019,23411
